Taille	TempsQuickSort	TempsMonTriHeap	TempsFusionTri
523	0.000150	0.000123	0.000118
524	0.000182	0.000126	0.000127
525	0.000150	0.000126	0.000125
526	0.000149	0.000125	0.000126
527	0.000155	0.000128	0.000120
528	0.000156	0.000129	0.000120
529	0.000157	0.000128	0.000124
530	0.000207	0.000157	0.000132
531	0.000164	0.000130	0.000121
532	0.000175	0.000131	0.000148
533	0.000163	0.000127	0.000136
534	0.000166	0.000131	0.000127
535	0.000165	0.000131	0.000126
536	0.000162	0.000130	0.000121
537	0.000159	0.000134	0.000121
538	0.000157	0.000129	0.000129
539	0.000162	0.000131	0.000128
540	0.000162	0.000130	0.000121
541	0.000162	0.000157	0.000122
542	0.000162	0.000131	0.000128
543	0.000179	0.000132	0.000128
544	0.000164	0.000133	0.000144
545	0.000163	0.000133	0.000123
546	0.000161	0.000131	0.000124
547	0.000170	0.000133	0.000129
548	0.000171	0.000136	0.000131
549	0.000166	0.000134	0.000153
550	0.000176	0.000135	0.000131
551	0.000167	0.000134	0.000131
552	0.000179	0.000134	0.000130
553	0.000176	0.000135	0.000126
554	0.000169	0.000135	0.000125
555	0.000172	0.000136	0.000133
556	0.000169	0.000136	0.000132
557	0.000174	0.000136	0.000132
558	0.000204	0.000136	0.000130
559	0.000174	0.000134	0.000128
560	0.000171	0.000139	0.000135
561	0.000164	0.000136	0.000133
562	0.000172	0.000135	0.000128
563	0.000173	0.000140	0.000129
564	0.000175	0.000137	0.000133
565	0.000174	0.000138	0.000134
566	0.000179	0.000161	0.000128
567	0.000175	0.000140	0.000138
568	0.000171	0.000139	0.000137
569	0.000170	0.000139	0.000134
570	0.000211	0.000140	0.000129
571	0.000175	0.000139	0.000128
572	0.000178	0.000141	0.000135
573	0.000189	0.000141	0.000135
574	0.000176	0.000166	0.000135
575	0.000181	0.000140	0.000132
576	0.000182	0.000140	0.000145
577	0.000184	0.000142	0.000139
578	0.000179	0.000144	0.000140
579	0.000176	0.000145	0.000132
580	0.000192	0.000141	0.000139
581	0.000184	0.000140	0.000140
582	0.000207	0.000153	0.000142
583	0.000203	0.000152	0.000134
584	0.000222	0.000145	0.000146
585	0.000194	0.000143	0.000141
586	0.000193	0.000146	0.000141
587	0.000186	0.000146	0.000132
588	0.000185	0.000144	0.000142
589	0.000185	0.000143	0.000141
590	0.000202	0.000144	0.000142
591	0.000191	0.000146	0.000160
592	0.000184	0.000146	0.000152
593	0.000198	0.000147	0.000144
594	0.000184	0.000146	0.000135
595	0.000199	0.000147	0.000135
596	0.000189	0.000147	0.000143
597	0.000190	0.000172	0.000146
598	0.000202	0.000147	0.000139
599	0.000196	0.000149	0.000137
600	0.000193	0.000146	0.000143
601	0.000196	0.000148	0.000147
602	0.000217	0.000150	0.000139
603	0.000189	0.000151	0.000136
604	0.000201	0.000202	0.000145
605	0.000198	0.000146	0.000156
606	0.000197	0.000150	0.000145
607	0.000199	0.000149	0.000139
608	0.000198	0.000152	0.000145
609	0.000202	0.000150	0.000145
610	0.000197	0.000152	0.000142
611	0.000195	0.000151	0.000138
612	0.000227	0.000152	0.000148
613	0.000197	0.000153	0.000147
614	0.000215	0.000162	0.000140
615	0.000206	0.000151	0.000141
616	0.000199	0.000153	0.000147
617	0.000211	0.000154	0.000154
618	0.000217	0.000154	0.000221
619	0.000224	0.000160	0.000143
620	0.000199	0.000155	0.000148
621	0.000213	0.000154	0.000147
622	0.000211	0.000154	0.000143
623	0.000212	0.000154	0.000141
624	0.000206	0.000155	0.000149
625	0.000197	0.000156	0.000148
626	0.000206	0.000186	0.000142
627	0.000204	0.000155	0.000143
628	0.000204	0.000155	0.000149
629	0.000205	0.000155	0.000195
630	0.000240	0.000159	0.000145
631	0.000213	0.000156	0.000161
632	0.000204	0.000157	0.000148
633	0.000209	0.000187	0.000160
